ticker,yfinance_long_name,yfinance_short_name,english_name_norm,is_instrument,instrument_reason,source
144A,,"144A.T,0P0001LSG9,0","144A.T,0P0001LSG9,0",0,,cache
1450,TANAKEN Inc.,TANAKEN INC,TANAKENINC.,0,,cache
1452,"YOKOHAMA WRIGHT Industries Co.,LTD","1452.T,0P0001J5FZ,0","YOKOHAMAWRIGHTINDUSTRIESCO.,",0,,cache
145A,,L IS B CORP,LISB,0,,cache
146A,,COLUMBIA WORKS INC,COLUMBIAWORKS,0,,cache
147A,,SORACOM INC,SORACOM,0,,cache
148A,,HATCH WORK CO. LTD,HATCHWORKCO.,0,,cache
1491,"Chugai Mining Co., Ltd.",CHUGAI MINING CO,"CHUGAIMININGCO.,LTD.",0,,cache
149A,,THINCA CO LTD,THINCA,0,,cache
150A,,JSH CO LTD,JSH,0,,cache
1514,"Sumiseki Holdings,Inc.",SUMISEKI HOLDINGS INC,"SUMISEKIHOLDINGS,INC.",0,,cache
1515,"Nittetsu Mining Co., Ltd.",NITTETSU MINING CO,"NITTETSUMININGCO.,LTD.",0,,cache
1518,"Mitsui Matsushima Holdings Co., Ltd.",MITSUI MATSUSHIMA HOLDINGS CO L,"MITSUIMATSUSHIMAHOLDINGSCO.,LTD.",0,,cache
151A,,DIVE INC,DIVE,0,,cache
152A,,"152A.T,0P0001SGEQ,0","152A.T,0P0001SGEQ,0",0,,cache
153A,,CAULIS INC,CAULIS,0,,cache
154A,,"154A.T,0P0001SHLF,0","154A.T,0P0001SHLF,0",0,,cache
155A,,INFORMATION STRATEGY AND TECHNO,INFORMATIONSTRATEGYANDTECHNO,0,,cache
156A,,MATERIAL GROUP INC,MATERIAL,0,,cache
157A,,GREEN MONSTER INC,GREENMONSTER,0,,cache
158A,,"158A.T,0P0001SIEX,0","158A.T,0P0001SIEX,0",0,,cache
1605,Inpex Corporation,INPEX CORPORATION,INPEX,0,,cache
160A,,AS PARTNERS CO  LTD,ASPARTNERS,0,,cache
161A,"Mitsuba Co.,Ltd.","161A.T,0P0001SJ1A,0","MITSUBACO.,LTD.",0,,cache
164A,,"164A.T,0P0001SJ4H,0","164A.T,0P0001SJ4H,0",0,,cache
