sbti_id,company_name,isin,lei,organization_type,location,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year,net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date,target_classification_long,reason_for_extension_or_removal,date_updated
40015320,"AEON MALL Co., Ltd.",JP3131430005,353800IDE3ULLSB2R846,Corporate,Japan,Asia,Real Estate,Targets set,1.5°C,FY2030,,,,,,"Aeon Mall Co. Ltd, commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2020 base year. Aeon Mall Co. Ltd, also commits to reduce absolute scope 3 GHG emissions from downstream leased assets 25% within the same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,28/03/2024
40007862,AGC Inc.,JP3112000009,JE4WFFEELMVPFZ0G1E77,Corporate,Japan,Asia,Building Products,Targets set,Well-below 2°C,FY2030,,,,,,"AGC Inc. commits to reduce absolute scope 1 and 2 GHG emissions 30% by FY2030 from a FY2019 base year. AGC Inc. commits to reduce absolute scope 3 GHG emissions from purchased goods and services, processing of sold products, use of sold products, and end-of-life treatment of sold products 30% wihtin the same timeframe. AGC Inc. commits that 30% of its suppliers by emissions covering purchased goods and services and fuel and energy related activities will have science-based targets by FY2027",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,12/01/2023
40003479,AISIN CORPORATION,JP3102000001,3538004IOK08PDY6I723,Corporate,Japan,Asia,Automobiles and Components,Targets set,1.5°C,FY2031,,,,,,"AISIN CORPORATION commits to reduce absolute scope 1 and 2 GHG
emissions 46.2% by FY2031 from a FY2020 base year. AISIN CORPORATION
also commits to reduce absolute scope 3 GHG emissions from purchased goods
and services, and use of sold products 27.5% within the same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,07/12/2023
40011928,"Ajinomoto Co., Inc.",JP3119600009,353800UT0TLROREPIC92,Corporate,Japan,Asia,Food and Beverage Processing,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2050,Targets set,FY2050,"Overall net-zero target:
Ajinomoto Co., Inc. commits to reach net-zero greenhouse gas emissions across the value chain by FY2050.
Near-term targets:
Energy & Industry: Ajinomoto Co., Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by FY2030 from a FY2018 base
year.* Ajinomoto Co., Inc. also commits to reduce absolute scope 3 GHG emissions 30% within the same timeframe. *The target boundary
includes land-related emissions and removals from bioenergy feedstocks.
FLAG: Ajinomoto Co., Inc. commits to reduce absolute scope 3 FLAG GHG emissions 36.4% by FY2030 target year from a FY2018 base
year.* Ajinomoto Co., Inc. commits to no deforestation across its primary deforestation-linked commodities, with a target date of December
31, 2025. *Target includes FLAG emissions and removals.
Long-term targets:
Energy & Industry: Ajinomoto Co., Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2050 from a FY2018 base
year.* Ajinomoto Co., Inc. also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe. *The target boundary
includes land-related emissions and removals from bioenergy feedstocks.
FLAG: Ajinomoto Co., Inc. commits to reduce absolute scope 3 FLAG GHG emissions 72% by FY2050 target year from a FY2018 base
year.* *Target includes FLAG emissions and removals.",BA1.5 member,01/05/2020,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,09/01/2025
40011121,"AMADA CO.,LTD.",JP3122800000,529900QF5O6TQGCPDX85,Corporate,Japan,Asia,Technology Hardware and Equipment,Targets set,1.5°C,2030,,,,,,Amada commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2030 from a 2019 base year. Amada also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 27.5% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,05/01/2023
40003080,ANA Holdings Inc.,JP3429800000,5493008IRKIY0G3TE305,Corporate,Japan,Asia,Air Transportation - Airlines,Targets set,Well-below 2°C,FY2030,,,,,,ANA HOLDINGS INC. commits to reduce scope 1 and scope 3 fuel and energy related activities GHG emissions 29% per RTK by FY2030 from a FY2019 base year*. ANA HOLDINGS INC. also commits to reduce absolute scope 1 and 2 GHG emissions from all other sources 27.5% by FY2030 from a FY2019 base year. *Non-CO₂ factors which may also contribute to aviation induced warming are not included in this target ANA HOLDINGS INC. will publicly report its non-CO2 impacts,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,08/12/2022
40014002,Anritsu Corporation,JP3128800004,NA,Corporate,Japan,Asia,Technology Hardware and Equipment,Targets set,1.5°C,FY2030,,,,,,Anritsu Corporation commits to reduce absolute scope 1 and 2 GHG emissions 42.0% by FY2030 from a FY2021 base year. Anritsu Corporation also commits to reduce absolute scope 3 GHG emissions covering purchased goods and services and use of sold products 27.5% by FY2030 from a FY2019 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,08/02/2024
40012157,Asahi Group Holdings Ltd.,JP3116000005,353800KAJ02XNHLCJW79,Corporate,Japan,Asia,Food and Beverage Processing,Targets set,1.5°C,2030,Targets set,1.5°C,2040,Targets set,2040,"Overall Net-Zero Target: 
Asahi Group Holdings Ltd. commits to reach net-zero greenhouse gas emissions across the value chain by 2040.
Near-Term Targets: 
Energy / Industrial : Asahi Group Holdings Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 70% by 2030 from a 2019 base year. Asahi Group Holdings Ltd. also commits to reduce absolute scope 3 GHG emissions 30% within the same timeframe.
FLAG : 
Asahi Group Holdings Ltd. commits to reduce absolute scope 3 FLAG GHG emissions 33.3% by 2030 from a 2019 base year. * Asahi Group Holdings Ltd. also commits to no deforestation across its primary deforestation-linked commodities, with a target date of December 31, 2025.
*Target includes FLAG emissions and removals.
Long-Term Targets: 
Energy / Industrial : Asahi Group Holdings Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2040 from a 2019 base year. Asahi Group Holdings Ltd. also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.
FLAG : Asahi Group Holdings Ltd. also commits to reduce absolute scope 3 FLAG GHG emissions 72% by 2040 from a 2019 base year.*
*Target includes FLAG emissions and removals.",BA1.5 member,15/04/2021,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,18/07/2024
40008749,"Asahi Woodtec Co., Ltd.",,,Corporate,Japan,Asia,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Targets set,Well-below 2°C,FY2031,,,,,,"Asahi Woodtec Co. , Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 28% by FY2031 from a FY2020 base year. * Asahi Woodtec Co. , Ltd. commits that 80% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution will have science-based targets by FY2027. *The target boundary includes land-related emissions and removals from bioenergy feedstocks",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,26/05/2022
40002048,"Asia Air Survey Co.,Ltd.",JP3118800006,NA,Corporate,Japan,Asia,Professional Services,Targets set,1.5°C,FY2030,,,,,,"Asia Air Survey Co., Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2020 base year. Asia Air Survey Co., Ltd. also commits that 76% of its suppliers by emissions, covering purchased goods and services and capital goods, will have science-based targets by FY2028.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,08/02/2024
40006004,ASICS Corporation,JP3118000003,3538002LJMRZ83SU0B85,Corporate,Japan,Asia,"Textiles, Apparel, Footwear and Luxury Goods",Targets set,1.5°C,2030,,,,Commitment removed,,ASICS Corporation commits to reduce absolute scope 1 and 2 GHG emissions 63% by 2030 from a 2015 base year. ASICS Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and end-of-life treatment of sold products 63% over the same timeframe.,BA1.5 member,01/09/2019,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,15/04/2021
40003026,ASKUL Corporation,JP3119920001,NA,Corporate,Japan,Asia,Retailing,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2050,Targets set,FY2050,"Overall Net-Zero Target: ASKUL Corporation commits to reach net-zero greenhouse gas emissions across the value chain by FY2050.
Near-Term Targets:
ASKUL Corporation commits to reduce absolute scope 1 and 2 GHG emissions 88% by FY2030 from a FY2021 base year. ASKUL Corporation commits to increase active annual sourcing of renewable electricity from 46% in FY2021 to 100% by FY2030. ASKUL Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 25% by FY2030 from a FY2021 base year. ASKUL Corporation commits that 90% of its suppliers by emissions covering purchased goods and services will have science-based targets by FY2028.
Long-Term Targets:
ASKUL Corporation commits to reduce absolute scope 1 and 2 GHG emissions 95% by FY2050 from a FY2021 base year. ASKUL Corporation also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.",BA1.5 member,01/04/2020,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,07/03/2024
40013428,Astellas Pharma Inc.,JP3942400007,529900IB708DY2HBBB35,Corporate,Japan,Asia,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5°C,FY2030,,,,,,Astellas Pharma Inc. commits to reduce absolute scope 1 and 2 GHG emissions 63% by FY2030 from a FY2015 base year. Astellas Pharma Inc. commits to reduce absolute scope 3 GHG emissions 37.5% by FY2030 from a FY2015 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,19/01/2023
40012662,Azbil Corporation,JP3937200008,,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2049,Targets set,FY2049,Overall Net-Zero Target: Azbil Corporation commits to reach net-zero greenhouse gas emissions across the value chain by FY2049. Near-Term Targets: Azbil Corporation commits to reduce absolute scope 1 and 2 GHG emissions 55% by FY2030 from a FY2017 base year. Azbil Corporation also commits to reduce absolute scope 3 GHG emissions 33% within the same timeframe. Long-Term Targets: Azbil Corporation commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2049 from a FY2017 base year. Azbil Corporation also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,07/11/2024
40012938,"BELLSYSTEM24 HOLDINGS, INC.",JP3835760004,353800JZJDPUWIH3M649,Corporate,Japan,Asia,Telecommunication Services,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2040,Targets set,FY2040,"Overall Net-Zero Target
BELLSYSTEM24 Holdings commits to reach net-zero greenhouse gas emissions across the
value chain by FY2040.
Near-Term Targets
BELLSYSTEM24 Holdings, Inc. commits to reduce absolute scope 1 and 2 GHG emissions
46.3% by FY2030 from a FY2019 base year. BELLSYSTEM24 Holdings, Inc. also commits to
reduce absolute scope 3 GHG emissions 27.5% within the same timeframe.
Long-Term Targets
BELLSYSTEM24 Holdings, Inc. commits to reduce absolute scope 1, 2, and 3 GHG emissions
90% by FY2040 from a FY2019 base year.",BA1.5 member,21/04/2022,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,25/01/2024
40004037,"Benesse Corporation, Inc.",JP3835620000,549300XOPEJA8L2IV934,Corporate,Japan,Asia,Education Services,Targets set,1.5°C,2030,,,,,,"Benesse Corporation, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 52.8% by 2030 from a 2018 base year. Benesse Corporation, Inc. commits to reduce absolute scope 3 GHG emissions 14.8% by 2030 from a 2018 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,29/09/2022
40014631,BIPROGY Inc.,JP3754200008,,Corporate,Japan,Asia,Software and Services,Targets set,1.5°C,FY2030,,,,,,"Biprogy Inc. commits to reduce absolute scope 1 and 2 GHG emissions 45% by FY2030 from a FY2021 base year.
Biprogy Inc. also commits to reduce absolute scope 3 GHG emissions from use of sold products 25% by FY2030 from a FY2021 base year. 
Biprogy Inc. also commits that 40% of its suppliers by spend covering purchased goods and services, will have science-based targets by FY2027.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,25/07/2024
40011893,Bridgestone Corporation,JP3830800003,549300DHPOF90OYYD780,Corporate,Japan,Asia,Tires,Targets set,Well-below 2°C,2030,,,,,,Bridgestone Corporation commits to reduce absolute scope 1 and 2 GHG emissions 28% by 2030 from a 2019 base year. * Bridgestone Corporation commits that 92% of its suppliers by emissions covering purchased goods and services will have science-based targets by 2026. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,23/02/2023
40015163,"Brother Industries, Ltd.",JP3830000000,549300O5FACQ67KI6R92,Corporate,Japan,Asia,Technology Hardware and Equipment,Targets set,1.5°C,FY2030,,,,,,"BROTHER INDUSTRIES commits to reduce absolute scope 1 and 2 GHG emissions 65% by FY2030 from a FY2015 base year. BROTHER INDUSTRIES also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, use of sold products and end of life treatment of sold products 30% within the same timeframe",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,12/06/2025
40005466,"Bunka Shutter Co., Ltd.",JP3831600006,3538006KDHDR2E6VDJ47,Corporate,Japan,Asia,Construction Materials,Targets set,1.5°C,FY2030,,,,,,"BUNKA SHUTTER CO., LTD. commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by FY2030 from a FY2019 base year. BUNKA SHUTTER CO., LTD. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and upstream transportation and distribution 27.5% by FY2030 from a FY2019 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,16/11/2023
40011338,CANON INC.,JP3242800005,529900JH1GSC035SSP77,Corporate,Japan,Asia,Technology Hardware and Equipment,Targets set,1.5°C,2030,,,,,,"CANON INC. commits to reduce absolute scope 1 and 2 GHG emissions 42.0%
by 2030 from a 2022 base year. CANON INC. also commits to reduce absolute
scope 3 GHG emissions from purchased goods and services, and use of sold
products 25.0% within the same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,02/11/2023
40006892,"CASIO COMPUTER CO., LTD.",JP3209000003,353800JRMIABSXKHV344,Corporate,Japan,Asia,"Consumer Durables, Household and Personal Products",Targets set,Well-below 2°C,2030,,,,,,"CASIOCOMPUTERCO. , LTD. commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2030 from a 2018 base year. CASIO COMPUTER CO. , LTD. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 30% over the same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,22/04/2021
40004177,TDK Corporation,JP3538800008,353800508WNU39U8NX03,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2050,Targets set,FY2050,"Overall Net-Zero Target: TDK Corporation commits to reach net-zero greenhouse gas emissions across the value chain by FY2050.
Near-Term Targets: TDK Corporation commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2021 base year.* TDK Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 25% within the same timeframe.* TDK Corporation further commits that 5% of its suppliers by spend covering purchased goods and services will have science-based targets by FY2028.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.
Long-Term Targets: TDK Corporation commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2050 from a FY2021 base year.* TDK Corporation commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.*
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.",BA1.5 member,22/09/2022,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,13/03/2025
40013097,"Chugai Pharmaceutical Co., Ltd.",JP3519400000,529900T9LAII161DCN95,Corporate,Japan,Asia,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5°C,2030,,,,,,"Chugai Pharmaceutical Co. , Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2019 base year. Chugai Pharmaceutical Co. , Ltd. commits to increase annual sourcing of renewable electricity from 0% in 2019 to 100% by 2025. Chugai Pharmaceutical Co. , Ltd. also commits to reduce absolute scope 3 GHG emissions 30% by 2030 from a 2019 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,16/12/2021
40009238,"CITIZEN WATCH CO., LTD.",JP335240AJ98,529900DUZBKERKGQ2628,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,FY2030,,,,,,CITIZEN WATCH commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by FY2030 from a FY2018 base year. CITIZEN WATCH also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 30% over the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,05/01/2023
40003756,Comany Inc.,JP3305500005,,Corporate,Japan,Asia,Building Products,Targets set,1.5°C,2030,,,,,,"COMANY INC. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. COMANY INC. also commits that 80% of its suppliers by emissions covering purchased goods and services, will have science-based targets by 2024.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,16/04/2020
40005573,COMSYS Holdings Corporation,JP3305530002,529900BXEDA1UA6QX260,Corporate,Japan,Asia,Construction and Engineering,Targets set,1.5°C,FY2030,,,,,,COMSYS Holdings Corporation commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2020 base year. COMSYS Holdings Corporation also commits to reduce absolute scope 3 GHG emissions 25% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,23/11/2023
40011550,"Dai Nippon Printing Co., Ltd.",JP3493800001,529900S7NFNQ4FT6OP83,Corporate,Japan,Asia,"Trading Companies and Distributors, and Commercial Services and Supplies",Targets set,1.5°C,FY2030,,,,,,"Dai Nippon Printing Co., Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by FY2030 from a FY2019 base year. Dai Nippon Printing Co., Ltd. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel- and energy-related activities, upstream transportation and distribution and waste generated in operations 27.5% within the same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,22/05/2025
40013042,"Daiichi Sankyo Co., Ltd.",JP3475350009,353800XGIU2IHQGC9504,Corporate,Japan,Asia,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5°C,FY2030,,,,Committed,,"Daiichi Sankyo Co., Ltd. commits to reduce absolute scope 1 and 2 GHG
emissions 63% by FY2030 from a FY2015 base year. Daiichi Sankyo Co.,
Ltd also commits to increase active sourcing of renewable electricity from
4.0% in FY2015 to 100% by FY2030. Daiichi Sankyo Co., Ltd further
commits that 70.6% of its suppliers by emissions, covering purchased
goods and services, capital goods, fuel and energy related activities and
business travel will have science-based targets by FY2025.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,24/08/2023
40000272,DAIKEN CORPORATION,JP3482600008,NA,Corporate,Japan,Asia,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Targets set,Well-below 2°C,FY2030,,,,,,DAIKEN CORPORATION commits to reduce absolute scope 1 and 2 GHG emissions 25% by FY2030 from a FY2021 base year.* DAIKEN CORPORATION commits to reduce absolute scope 3 GHG emissions 13.5% by FY2030 from a FY2021 base year. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,06/07/2023
40007846,"Daiseki Co., Ltd.",JP3485600005,,Corporate,Japan,Asia,Solid Waste Management Utilities,Targets set,1.5°C,FY2030,,,,,,"Daiseki Co. , Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 34% by FY2028 from a FY2022 base year. Daiseki Co. , Ltd. alo commits to increase annual sourcing of renewable electricity from 0% in FY2022 to 100% by FY2030. Daiseki Co. , Ltd. further commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, upstream transportation and distribution, waste generated in operations, and use of sold products 20% by FY2028 from a FY2022 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,08/12/2022
