entity_id,icp_present,icp_used_for_investment,sbti_committed,sbti_linked_to_strategy,internal_carbon_price_level_disclosed,carbon_cost_considered_in_capex,transition_plan_published,board_level_discussion,board_committee_exists,executive_compensation_linked,clear_responsibility_line,frequency_of_board_discussion_disclosed,external_expert_involved,climate_kpi_in_management_evaluation,scope3_disclosed,scope3_category_level,scope3_reduction_target,scope3_actions_described,scope3_progress_disclosed,methodology_disclosed,boundary_clearly_defined,product_use_phase_addressed,supplier_engagement_described,supplier_emission_management,voluntary_credit_used,credit_used_as_primary_measure,supplier_incentive_scheme_mentioned,preferred_supplier_policy_linked_to_emissions,low_carbon_business_mentioned,low_carbon_revenue_ratio_disclosed,portfolio_shift_plan_described,fossil_dependency_acknowledged,asset_stranding_risk_mentioned,climate_related_patents_mentioned,core_technology_positioned,rd_investment_disclosed,collaboration_with_startups,government_funded_projects_participated,challenges_disclosed,failure_or_delay_explained,assumptions_and_scope_clear,negative_case_examples_presented,third_party_assurance_provided,data_comparability_over_time,kpi_definition_clear,scenario_analysis_conducted,transition_risk_quantified,physical_risk_addressed,climate_targets_timebound,capital_allocation_aligned,supplier_data_coverage_ratio_disclosed,internal_audit_on_climate_data,grievance_mechanism_for_suppliers,climate_training_for_management,continuous_improvement_statement
三井物産,unk,unk,unk,unk,unk,unk,yes,yes,yes,yes,yes,yes,yes,unk,unk,unk,yes,yes,unk,yes,yes,yes,yes,unk,yes,unk,unk,unk,yes,unk,yes,yes,yes,unk,unk,unk,unk,yes,yes,unk,unk,yes,unk,unk,unk,yes,yes,yes,yes,unk,yes,unk,unk,unk,yes
三浦工業,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,yes,yes,yes,no,unk,unk,yes,yes,unk,yes,yes,yes,yes,yes,yes,unk,unk,unk,yes,unk,yes,yes,unk,yes,yes,yes,yes,unk,yes,unk,unk,yes,unk,unk,unk,yes,unk,yes,yes,unk,unk,unk,yes,unk,unk
丸紅,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,unk,unk,yes,yes,yes,unk,yes,unk,yes,unk,unk,unk,yes,unk,no,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,unk,yes,unk,yes,yes,unk,yes,unk,unk,unk,yes
九州旅客鉄道,unk,unk,unk,unk,unk,unk,yes,yes,unk,yes,yes,yes,unk,no,unk,unk,yes,no,yes,yes,yes,unk,yes,unk,unk,unk,unk,unk,yes,unk,yes,unk,unk,unk,unk,unk,yes,unk,yes,unk,yes,yes,yes,yes,unk,unk,yes,yes,yes,unk,unk,unk,yes,unk,yes
伊藤忠商事,unk,unk,unk,unk,unk,unk,unk,yes,yes,yes,yes,yes,yes,unk,unk,unk,unk,yes,unk,yes,yes,unk,yes,yes,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,unk,yes,yes,yes,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,yes
住友林業,unk,unk,yes,unk,unk,unk,yes,yes,unk,unk,yes,yes,yes,no,unk,yes,unk,yes,yes,yes,yes,yes,unk,unk,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,unk,unk,unk,yes,yes,unk,unk,yes,unk,unk,unk,no,unk,yes,yes,unk,unk,unk,unk,unk,yes
双日_removed,unk,unk,unk,unk,unk,unk,unk,yes,yes,yes,yes,yes,unk,yes,unk,yes,unk,no,yes,yes,unk,unk,unk,unk,yes,unk,unk,unk,yes,unk,yes,yes,unk,unk,yes,unk,unk,unk,yes,unk,yes,yes,unk,unk,unk,yes,unk,unk,yes,unk,unk,unk,unk,unk,yes
商船三井,unk,unk,unk,unk,unk,unk,yes,unk,yes,yes,unk,yes,yes,unk,unk,unk,yes,unk,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,unk,no,yes,unk,unk,yes,unk,yes,unk,yes,unk,yes,yes,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,unk,unk,unk
大成建設_removed,unk,unk,yes,unk,unk,unk,unk,yes,yes,unk,yes,yes,yes,no,unk,unk,unk,unk,yes,yes,unk,unk,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,unk,unk,yes,unk,unk,yes,yes,yes,unk,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,yes
大東建託,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,yes,yes,unk,yes,unk,unk,unk,unk,unk,unk,yes,yes,unk,unk,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,unk,unk,unk,unk,yes,unk,yes,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,yes
大林組,unk,unk,yes,unk,unk,unk,unk,yes,yes,yes,yes,yes,unk,unk,unk,unk,unk,yes,yes,unk,yes,unk,yes,unk,unk,unk,unk,unk,yes,yes,no,unk,unk,unk,yes,unk,yes,yes,yes,unk,yes,unk,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,unk,yes
小林製薬,unk,unk,unk,unk,unk,unk,unk,yes,yes,unk,yes,yes,yes,unk,unk,yes,yes,yes,unk,unk,yes,unk,yes,yes,unk,unk,unk,unk,yes,yes,yes,unk,unk,yes,yes,yes,unk,unk,yes,unk,unk,yes,unk,unk,unk,yes,unk,unk,yes,unk,unk,unk,yes,unk,yes
山善,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,yes,yes,unk,no,unk,yes,yes,yes,unk,yes,yes,yes,yes,unk,yes,unk,unk,unk,yes,yes,yes,unk,unk,unk,yes,unk,unk,unk,yes,unk,unk,unk,unk,unk,unk,unk,unk,yes,yes,unk,unk,unk,unk,unk,unk
川崎汽船,unk,unk,unk,unk,unk,unk,yes,yes,unk,yes,unk,yes,unk,yes,unk,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,yes,no,yes,unk,unk,yes,unk,unk,yes,yes,yes,unk,yes,unk,unk,unk,yes,unk,yes,yes,unk,unk,unk,yes,unk,yes
戸田建設,unk,unk,yes,unk,unk,unk,unk,yes,yes,yes,unk,yes,yes,no,unk,yes,yes,yes,yes,unk,yes,yes,yes,unk,yes,unk,unk,unk,yes,yes,yes,unk,unk,unk,yes,yes,yes,yes,yes,yes,yes,yes,yes,unk,yes,yes,unk,yes,yes,unk,unk,unk,unk,unk,yes
日本紙パルプ商事,unk,unk,yes,unk,unk,unk,unk,yes,unk,unk,yes,yes,unk,unk,unk,yes,yes,no,yes,yes,yes,yes,yes,unk,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,yes,unk,yes,yes,unk,unk,unk,yes,yes,yes,unk,unk,yes,yes,unk,unk
日本郵船,yes,yes,unk,unk,yes,yes,unk,yes,unk,yes,yes,yes,unk,unk,unk,unk,yes,yes,yes,yes,yes,yes,yes,unk,unk,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,unk,unk,yes,yes,unk,yes,unk,yes,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,yes
横河電機_removed,yes,no,unk,unk,unk,no,unk,yes,yes,unk,yes,yes,yes,unk,unk,unk,yes,yes,yes,yes,yes,unk,yes,yes,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,unk,unk,yes,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,unk,yes
王子ホールディングス,unk,unk,unk,unk,unk,unk,yes,yes,unk,unk,yes,yes,unk,unk,unk,unk,yes,yes,yes,unk,yes,unk,yes,unk,yes,unk,unk,unk,yes,unk,no,unk,unk,unk,yes,yes,yes,yes,yes,yes,yes,yes,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,unk,yes
豊田通商,unk,unk,yes,unk,unk,unk,yes,yes,unk,unk,yes,yes,unk,no,unk,unk,yes,yes,unk,unk,yes,unk,yes,unk,unk,unk,yes,unk,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,unk,yes,unk,yes,yes,unk,unk,unk,yes,unk,yes
酉島製作所（サステナビリティ）,yes,no,unk,unk,unk,no,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,no,unk,unk,unk,unk,yes,yes,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,unk,unk,unk,yes,yes,unk,unk,unk,unk,unk,unk,yes,unk,yes,yes,unk,unk,unk,yes,unk,unk
長瀬産業,unk,unk,yes,unk,unk,unk,unk,yes,yes,unk,yes,yes,unk,no,unk,unk,unk,unk,unk,unk,yes,unk,yes,unk,unk,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,unk,unk,unk,yes,unk,yes,yes,yes,unk,unk,unk,unk,yes,yes,unk,unk,unk,yes,unk,yes
阪和興業,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,yes,yes,yes,unk,unk,yes,unk,unk,unk,unk,yes,unk,yes,unk,yes,unk,unk,unk,yes,unk,yes,yes,unk,unk,yes,unk,unk,yes,yes,unk,unk,unk,unk,unk,unk,yes,unk,yes,yes,unk,unk,unk,yes,unk,yes
静岡ガス,unk,unk,unk,unk,unk,unk,yes,yes,unk,unk,unk,yes,yes,unk,unk,unk,unk,unk,unk,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,unk,yes,yes,unk,unk,unk,unk,yes,unk,yes,unk,yes,unk,unk,unk,unk,yes,unk,yes,yes,unk,unk,unk,unk,unk,yes
高砂熱学工業,unk,unk,yes,yes,unk,unk,yes,yes,yes,yes,yes,yes,unk,unk,unk,unk,yes,yes,yes,unk,yes,unk,yes,yes,yes,unk,unk,unk,yes,yes,yes,unk,unk,no,yes,unk,unk,yes,yes,yes,yes,unk,unk,unk,unk,yes,unk,unk,yes,unk,unk,unk,unk,unk,yes
